time	 open	close
1511416800	8139.82	8153.31
1511438400	8153.31	8013.41
1511460000	8013.41	8106.84
1511481600	8106.84	8240.85
1511503200	8240.85	8217.53
1511524800	8217.53	8200.8
1511546400	8200.8	8231.75
1511568000	8231.75	8459.19
1511589600	8459.19	8696.42
1511611200	8696.42	8754.69
1511632800	8754.69	8935.72
1511654400	8935.72	8982.2
1511676000	8982.2	9283.48
1511697600	9283.48	9318.42
1511719200	9318.42	9629.69
1511740800	9629.69	9646.02
1511762400	9646.02	9574.2
1511784000	9574.2	9733.2
1511805600	9733.2	9865.64
1511827200	9865.64	9924.31
1511848800	9924.31	9929.84
1511870400	9929.84	9906.04
1511892000	9906.04	10131.01
1511913600	10131.01	10836.14
1511935200	10836.14	10598.25
1511956800	10598.25	9837.86
1511978400	9837.86	10400.63
1512000000	10400.63	9754.61
1512021600	9754.61	9622.86
1512043200	9622.86	9946.76
1512064800	9946.76	9598.88
1512086400	9598.88	9963.38
1512108000	9963.38	10449.84
1512129600	10449.84	10861.47
1512151200	10861.47	10904.72
1512172800	10904.72	10962.69
1512194400	10962.69	10909.51
1512216000	10909.51	10912.73
1512237600	10912.73	11063.68
1512259200	11063.68	11590.13
1512280800	11590.13	11689.11
1512302400	11689.11	11246.21
1512324000	11246.21	11457.69
1512345600	11457.69	11202.77
1512367200	11202.77	11295.98
1512388800	11295.98	11469.77
